Puesto,Empresa,Puntuación empresa,Ubicación,Estado postulación,Fecha,Candidatos,URL aviso
Soporte Técnico Nivel 1 Help Desk telefónico,Link Solution,,"Belgrano, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-nivel-1-help-desk-telefonico-zona-nunez-caba-en-belgrano-E50FE76D31505AD861373E686DCF3405
Operarios de deposito por convocatoria La Plata de 05 a 13 hs,Ceta Capital Humano,"3,6","La Plata, Buenos Aires",Postulado,15 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarios-de-deposito-por-convocatoria-la-plata-de-05-a-13-hs-en-la-plata-E69F453E7193C4F861373E686DCF3405
Mesa de Ayuda/Help Desk/Service Desk IT JR CABA Zona Microcentro/Híbrido 4 remotos/ L a V 8 a 17 hs,Yel Solutions,"4,1","Monserrat, Capital Federal",Postulado,11 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mesa-de-ayudahelp-deskservice-desk-it-jr-caba-zona-microcentrohibrido-4-remotos-l-a-v-8-a-17-hs-en-monserrat-7F4B84DF74ED2D2B61373E686DCF3405
Soporte Técnico Senior,Nibble Information SRL,,"Villa Crespo, Capital Federal",CV Visto,21 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-senior-en-villa-crespo-05F87A9859F0C96561373E686DCF3405
Soporte IT / Soporte Técnico de Sistemas ERP,MJ Consultora RH,,"Olivos, Buenos Aires-GBA",Proceso finalizado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-it-soporte-tecnico-de-sistemas-erp-en-olivos-12A993C2947474CD61373E686DCF3405
¡Estamos buscando Técnico/a Junior en IT!,BureauCorp,,"San Nicolás, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estamos-buscando-tecnicoa-junior-en-it-resida-en-caba-en-san-nicolas-745200C4D21FA28761373E686DCF3405
Representante de Soporte Tecnico,Cat-Technologies,"4,0","San Nicolás, Capital Federal",En proceso,19 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-representante-de-soporte-tecnico-en-san-nicolas-D546166FC4346B8A61373E686DCF3405
Ref. 21216: Analista de Soporte Jr. / Belgrano CABA,ADN - Recursos Humanos,"3,5","Belgrano, Capital Federal",Proceso finalizado,20 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21216-analista-de-soporte-jr-belgrano-caba-en-belgrano-8FB3EDDF6D7A00F261373E686DCF3405
Soporte tecnico,Importante empresa del sector,,"Saavedra, Buenos Aires",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-para-mantenimiento-de-redes-y-pc-en-saavedra-07DD19457227C17161373E686DCF3405
Field Support IT Soporte Tecnico Informatico SR  CABA zona Retiro Presencial Horario Central,Yel Solutions,"4,1","Retiro, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-field-support-it-soporte-tecnico-informatico-sr-caba-zona-retiro-presencial-horario-central-en-retiro-D65BCB4480CBA6EC61373E686DCF3405
